field_title,field_key,suggested_key,suggested_cosine,suggested_nli,suggested_combined,original_key,original_cosine,original_nli,original_combined,delta_cosine,delta_nli,delta_combined
,Progress_toward_goals_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,Progress_toward_goals_textbox,0.5238351579755545,0.054671015590429306,0.3361695010215044,0.4761649016290903,0.8262849189341068,0.6162129085510968
,homicidal_ideation_text,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,homicidal_ideation_text,0.5232676118612289,0.08213338255882263,0.3468139201402664,0.47673244774341583,0.7988225519657135,0.6055684894323348
,Action_plan_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,Action_plan_textbox,0.5020412998273969,0.12379754334688187,0.35074379723519084,0.4979587597772479,0.7571583911776543,0.6016386123374104
Explain (Risk of Harm),riskofharm_notes,explain,1.0000000596046448,0.9102407097816467,0.9640963196754455,riskofharm_notes,0.5727095156908035,0.06273900717496872,0.3687213122844696,0.42729054391384125,0.847501702606678,0.5953750073909759
Explain (Risk of Harm),riskofharm_notes,explain,1.0000000596046448,0.9102407097816467,0.9640963196754455,riskofharm_notes,0.5727095156908035,0.06273900717496872,0.3687213122844696,0.42729054391384125,0.847501702606678,0.5953750073909759
,suicidal_ideation_text,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,suicidal_ideation_text,0.5522202327847481,0.06853044033050537,0.358744315803051,0.4477798268198967,0.8124254941940308,0.5936380937695502
,FacetoFace_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,FacetoFace_textbox,0.506810836493969,0.1371709704399109,0.3589548900723457,0.4931892231106758,0.7437849640846252,0.5934275195002555
,Interventions_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,Interventions_textbox,0.5181373804807663,0.13244615495204926,0.3638608902692795,0.4818626791238785,0.7485097795724869,0.5885215193033217
,Interventions_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,Interventions_textbox,0.5181373804807663,0.13244615495204926,0.3638608902692795,0.4818626791238785,0.7485097795724869,0.5885215193033217
,Interventions_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,Interventions_textbox,0.5181373804807663,0.13244615495204926,0.3638608902692795,0.4818626791238785,0.7485097795724869,0.5885215193033217
,coordination_of_services_text,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,coordination_of_services_text,0.5208622701466084,0.1329667717218399,0.365704070776701,0.4791377894580364,0.7479891628026962,0.5866783387959003
Presenting Concerns (Chief Complaint & Additional Concerns):,psych_1,presenting_concerns,0.9933804273605347,0.9332851767539978,0.9693423271179199,psych_1,0.5752706527709961,0.10002440959215164,0.3851721554994583,0.4181097745895386,0.8332607671618462,0.5841701716184615
,summary_intervention_text,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,summary_intervention_text,0.5113348523154855,0.15761113166809082,0.3698453640565276,0.4886652072891593,0.7233448028564453,0.5825370455160737
,party_txt,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,party_txt,0.5411329753696918,0.11667007952928543,0.3713478170335293,0.4588670842349529,0.7642858549952507,0.5810345925390719
,Mental_Status_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,Mental_Status_textbox,0.5440334416925907,0.11318454891443253,0.37169388458132746,0.45596661791205406,0.7677713856101036,0.5806885249912738
,Plan_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,Plan_textbox,0.5204827710986137,0.15141822397708893,0.3728569522500038,0.47951728850603104,0.7295377105474472,0.5795254573225974
,Plan_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,Plan_textbox,0.5204827710986137,0.15141822397708893,0.3728569522500038,0.47951728850603104,0.7295377105474472,0.5795254573225974
"Explain (Include dates, means, rescue)",explain_txt3,explain,1.0000000596046448,0.9102407097816467,0.9640963196754455,explain_txt3,0.6026421338319778,0.059540655463933945,0.3854015424847603,0.39735792577266693,0.8507000543177128,0.5786947771906852
,Assessments_textbox,nan,1.0000000596046448,0.8809559345245361,0.9523824095726012,Assessments_textbox,0.5382949784398079,0.1292722523212433,0.37468588799238206,0.4617050811648369,0.7516836822032928,0.5776965215802192
